ctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00886) : (1.05735)) : (x<50 ? 1.08846:1.11247)) : (x<100 ? (x<80 ? (x<70 ? 1.13267:1.15467) : (1.17697)) : (x<120 ? 1.20368:1.25061))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.30363:1.34671) : (1.33323)) : (x<400 ? 1.38168:1.35857)) : (x<800 ? (x<670 ? 1.32943:1.30008) : (x<1000 ? 1.23942:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.981129) : (1.02432)) : (x<50 ? 1.05823:1.07275)) : (x<100 ? (x<80 ? (x<70 ? 1.09197:1.10812) : (1.11989)) : (x<120 ? 1.14843:1.1439))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.1458:1.14232) : (1.12059)) : (x<400 ? 1.14766:1.08718)) : (x<800 ? (x<670 ? 1.06709:0.904194) : (x<1000 ? 0.933116:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.910643) : (0.938344)) : (x<50 ? 0.958855:0.965808)) : (x<100 ? (x<80 ? (x<70 ? 0.977045:0.989277) : (0.996533)) : (x<120 ? 0.998912:1.00701))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02341:1.00482) : (0.973555)) : (x<400 ? 1.03225:1.11342)) : (x<800 ? (x<670 ? 0.857472:0.695072) : (x<1000 ? 0.731888:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00667) : (1.05492)) : (x<50 ? 1.08573:1.10935)) : (x<100 ? (x<80 ? (x<70 ? 1.12905:1.15046) : (1.17326)) : (x<120 ? 1.19868:1.24527))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.29523:1.33222) : (1.31257)) : (x<400 ? 1.35284:1.3206)) : (x<800 ? (x<670 ? 1.27809:1.18651) : (x<1000 ? 1.08052:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.98847) : (1.0318)) : (x<50 ? 1.06601:1.08096)) : (x<100 ? (x<80 ? (x<70 ? 1.1009:1.11798) : (1.12808)) : (x<120 ? 1.15897:1.15453))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16213:1.17041) : (1.1617)) : (x<400 ? 1.20682:1.16926)) : (x<800 ? (x<670 ? 1.17161:1.08478) : (x<1000 ? 1.1858:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.917602) : (0.945579)) : (x<50 ? 0.966569:0.974163)) : (x<100 ? (x<80 ? (x<70 ? 0.986356:0.999773) : (1.00543)) : (x<120 ? 1.01041:1.01883))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04191:1.03681) : (1.02114)) : (x<400 ? 1.10049:1.20346)) : (x<800 ? (x<670 ? 0.962372:0.947694) : (x<1000 ? 1.15356:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01105) : (1.05978)) : (x<50 ? 1.09119:1.1156)) : (x<100 ? (x<80 ? (x<70 ? 1.13628:1.15888) : (1.18069)) : (x<120 ? 1.20868:1.25596))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.31204:1.3612) : (1.35389)) : (x<400 ? 1.41051:1.39654)) : (x<800 ? (x<670 ? 1.38076:1.41365) : (x<1000 ? 1.39832:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997853) : (1.03774)) : (x<50 ? 1.0686:1.08073)) : (x<100 ? (x<80 ? (x<70 ? 1.08924:1.09867) : (1.11242)) : (x<120 ? 1.12174:1.13871))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.14651:1.14252) : (1.13542)) : (x<400 ? 1.17865:1.13601)) : (x<800 ? (x<670 ? 1.10349:1.0293) : (x<1000 ? 1.06054:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.889764) : (0.905693)) : (x<50 ? 0.916508:0.926596)) : (x<100 ? (x<80 ? (x<70 ? 0.926769:0.928676) : (0.93099)) : (x<120 ? 0.930976:0.925131))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.906599:0.84919) : (0.872759)) : (x<400 ? 0.912511:0.971781)) : (x<800 ? (x<670 ? 0.921587:0.998254) : (x<1000 ? 0.868755:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.82185) : (1.88894)) : (x<50 ? 1.9282:1.9122)) : (x<100 ? (x<80 ? (x<70 ? 1.9444:1.92862) : (1.95636)) : (x<120 ? 1.99203:2.04134))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.22727:2.40109) : (2.759)) : (x<400 ? 3.26414:3.24038)) : (x<800 ? (x<670 ? 3.66562:3.84769) : (x<1000 ? 2.92426:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994477) : (1.03449)) : (x<50 ? 1.06533:1.07736)) : (x<100 ? (x<80 ? (x<70 ? 1.08565:1.09475) : (1.1092)) : (x<120 ? 1.11768:1.13458))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.14017:1.13159) : (1.11908)) : (x<400 ? 1.15452:1.10182)) : (x<800 ? (x<670 ? 1.06077:0.951926) : (x<1000 ? 0.948948:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.88539) : (0.901466)) : (x<50 ? 0.912162:0.921947)) : (x<100 ? (x<80 ? (x<70 ? 0.921686:0.923025) : (0.92623)) : (x<120 ? 0.924857:0.918902))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.897039:0.832887) : (0.846771)) : (x<400 ? 0.873905:0.920372)) : (x<800 ? (x<670 ? 0.849993:0.794826) : (x<1000 ? 0.549726:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.81359) : (1.87999)) : (x<50 ? 1.91801:1.90068)) : (x<100 ? (x<80 ? (x<70 ? 1.93074:1.91289) : (1.94219)) : (x<120 ? 1.97241:2.01958))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.1882:2.3256) : (2.62551)) : (x<400 ? 3.03105:2.91465)) : (x<800 ? (x<670 ? 3.16063:2.65393) : (x<1000 ? 1.56092:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00123) : (1.04098)) : (x<50 ? 1.07187:1.0841)) : (x<100 ? (x<80 ? (x<70 ? 1.09284:1.10258) : (1.11565)) : (x<120 ? 1.1258:1.14284))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15285:1.15346) : (1.15176)) : (x<400 ? 1.20278:1.1702)) : (x<800 ? (x<670 ? 1.14622:1.10668) : (x<1000 ? 1.17213:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.894138) : (0.90992)) : (x<50 ? 0.920855:0.931246)) : (x<100 ? (x<80 ? (x<70 ? 0.931853:0.934328) : (0.935749)) : (x<120 ? 0.937096:0.931361))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.916158:0.865494) : (0.898747)) : (x<400 ? 0.951118:1.02319)) : (x<800 ? (x<670 ? 0.99318:1.20168) : (x<1000 ? 1.18778:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.8301) : (1.8979)) : (x<50 ? 1.93839:1.92373)) : (x<100 ? (x<80 ? (x<70 ? 1.95805:1.94435) : (1.97054)) : (x<120 ? 2.01165:2.06309))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.26633:2.47659) : (2.89248)) : (x<400 ? 3.49723:3.56612)) : (x<800 ? (x<670 ? 4.17061:5.04145) : (x<1000 ? 4.2876:0)))" 
