cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
"1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.9394) : (0.94964)) : (x<50 ? 0.952294:0.958606)) : (x<100 ? (x<80 ? (x<70 ? 0.958474:0.957885) : (0.959397)) : (x<120 ? 0.957462:0.96089))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.96178:0.955728) : (0.958539)) : (x<400 ? 0.961268:0.960489)) : (x<800 ? (x<670 ? 0.97682:0.948804) : (x<1000 ? 0.99056:0)))"" ";
"1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.906952) : (0.918386)) : (x<50 ? 0.916878:0.935471)) : (x<100 ? (x<80 ? (x<70 ? 0.940389:0.941618) : (0.948958)) : (x<120 ? 0.952918:0.969442))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.980484:0.957386) : (1.01948)) : (x<400 ? 1.06821:1.16295)) : (x<800 ? (x<670 ? 1.1227:1.0543) : (x<1000 ? 1.08932:0)))"" ";
"1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.70005) : (1.85154)) : (x<50 ? 1.86803:1.898)) : (x<100 ? (x<80 ? (x<70 ? 1.96662:1.93124) : (2.04884)) : (x<120 ? 2.04308:2.31776))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.5978:3.27468) : (3.63781)) : (x<400 ? 4.24715:5.24147)) : (x<800 ? (x<670 ? 5.6765:6.58754) : (x<1000 ? 5.44061:0)))"" ";
"1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.93749) : (0.947949)) : (x<50 ? 0.950664:0.956952)) : (x<100 ? (x<80 ? (x<70 ? 0.95674:0.956025) : (0.957891)) : (x<120 ? 0.955594:0.959018))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.958916:0.950757) : (0.95092)) : (x<400 ? 0.950004:0.943323)) : (x<800 ? (x<670 ? 0.953339:0.904056) : (x<1000 ? 0.927851:0)))"" ";
"1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.902018) : (0.913586)) : (x<50 ? 0.91181:0.929961)) : (x<100 ? (x<80 ? (x<70 ? 0.934345:0.934925) : (0.943373)) : (x<120 ? 0.945822:0.962219))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.969343:0.93833) : (0.988922)) : (x<400 ? 1.02429:1.10306)) : (x<800 ? (x<670 ? 1.03997:0.840654) : (x<1000 ? 0.74206:0)))"" ";
"1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.68809) : (1.83698)) : (x<50 ? 1.85032:1.8773)) : (x<100 ? (x<80 ? (x<70 ? 1.94203:1.90388) : (2.02398)) : (x<120 ? 2.01044:2.28085))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.53666:3.15026) : (3.44833)) : (x<400 ? 3.96625:4.7527)) : (x<800 ? (x<670 ? 4.99094:4.74829) : (x<1000 ? 3.71423:0)))"" ";
"1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.941311) : (0.951331)) : (x<50 ? 0.953924:0.960259)) : (x<100 ? (x<80 ? (x<70 ? 0.960208:0.959745) : (0.960904)) : (x<120 ? 0.95933:0.962762))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.964644:0.9607) : (0.966158)) : (x<400 ? 0.972533:0.977654)) : (x<800 ? (x<670 ? 1.0003:0.993552) : (x<1000 ? 1.05327:0)))"" ";
"1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.911885) : (0.923186)) : (x<50 ? 0.921947:0.940982)) : (x<100 ? (x<80 ? (x<70 ? 0.946434:0.948311) : (0.954542)) : (x<120 ? 0.960013:0.976665))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991625:0.976442) : (1.05005)) : (x<400 ? 1.11214:1.22284)) : (x<800 ? (x<670 ? 1.20543:1.26794) : (x<1000 ? 1.43659:0)))"" ";
"1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.71202) : (1.8661)) : (x<50 ? 1.88573:1.91871)) : (x<100 ? (x<80 ? (x<70 ? 1.99121:1.95861) : (2.0737)) : (x<120 ? 2.07572:2.35467))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.65893:3.39909) : (3.82728)) : (x<400 ? 4.52805:5.73025)) : (x<800 ? (x<670 ? 6.36207:8.42679) : (x<1000 ? 7.16699:0)))"" ";
"2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.887466) : (0.904804)) : (x<50 ? 0.911786:0.919363)) : (x<100 ? (x<80 ? (x<70 ? 0.920276:0.917342) : (0.917104)) : (x<120 ? 0.913537:0.910787))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.904829:0.883237) : (0.876779)) : (x<400 ? 0.856462:0.834197)) : (x<800 ? (x<670 ? 0.839356:0.852926) : (x<1000 ? 0.764949:0)))"" ";
"2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.856529) : (0.864006)) : (x<50 ? 0.876199:0.909963)) : (x<100 ? (x<80 ? (x<70 ? 0.901043:0.915363) : (0.91985)) : (x<120 ? 0.898427:0.913937))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.905468:0.881639) : (0.897412)) : (x<400 ? 0.925869:1.27935)) : (x<800 ? (x<670 ? 1.13062:1.72947) : (x<1000 ? 2.94507:0)))"" ";
"2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.42047) : (2.23082)) : (x<50 ? 2.45987:2.46091)) : (x<100 ? (x<80 ? (x<70 ? 2.75156:2.59349) : (2.62038)) : (x<120 ? 2.5177:2.75257))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.83577:3.54733) : (3.58242)) : (x<400 ? 3.42041:8.2831)) : (x<800 ? (x<670 ? 4.37334:3.64373) : (x<1000 ? 5.55779:0)))"" ";
"2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.885315) : (0.902968)) : (x<50 ? 0.910044:0.917607)) : (x<100 ? (x<80 ? (x<70 ? 0.918439:0.915378) : (0.915517)) : (x<120 ? 0.911573:0.908823))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.901801:0.877986) : (0.868664)) : (x<400 ? 0.844447:0.815564)) : (x<800 ? (x<670 ? 0.813206:0.801728) : (x<1000 ? 0.701045:0)))"" ";
"2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.846199) : (0.853913)) : (x<50 ? 0.865853:0.898605)) : (x<100 ? (x<80 ? (x<70 ? 0.888876:0.901807) : (0.908543)) : (x<120 ? 0.884802:0.899762))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.883789:0.843594) : (0.837386)) : (x<400 ? 0.839693:1.12623)) : (x<800 ? (x<670 ? 0.935731:0.999551) : (x<1000 ? 0.914979:0)))"" ";
"2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.39306) : (2.17358)) : (x<50 ? 2.38339:2.37056)) : (x<100 ? (x<80 ? (x<70 ? 2.63293:2.46585) : (2.51508)) : (x<120 ? 2.38974:2.61589))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.63004:3.14484) : (3.06615)) : (x<400 ? 2.83688:5.83645)) : (x<800 ? (x<670 ? 2.92228:1.35665) : (x<1000 ? 0.900791:0)))"" ";
"2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.889618) : (0.906641)) : (x<50 ? 0.913528:0.92112)) : (x<100 ? (x<80 ? (x<70 ? 0.922114:0.919307) : (0.918691)) : (x<120 ? 0.9155:0.91275))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.907857:0.888488) : (0.884895)) : (x<400 ? 0.868477:0.852831)) : (x<800 ? (x<670 ? 0.865506:0.904123) : (x<1000 ? 0.828852:0)))"" ";
"2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.866859) : (0.874099)) : (x<50 ? 0.886546:0.921321)) : (x<100 ? (x<80 ? (x<70 ? 0.913211:0.928919) : (0.931156)) : (x<120 ? 0.912051:0.928111))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.927146:0.919685) : (0.957438)) : (x<400 ? 1.01204:1.43247)) : (x<800 ? (x<670 ? 1.32551:2.45939) : (x<1000 ? 4.97517:0)))"" ";
"2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, ""x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.44787) : (2.28806)) : (x<50 ? 2.53635:2.55127)) : (x<100 ? (x<80 ? (x<70 ? 2.8702:2.72112) : (2.72567)) : (x<120 ? 2.64567:2.88926))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 3.0415:3.94983) : (4.0987)) : (x<400 ? 4.00394:10.7298)) : (x<800 ? (x<670 ? 5.8244:5.9308) : (x<1000 ? 10.2148:0)))"" ";
