CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11101) : (1.12138)) : (x<50 ? 1.09799:1.15535)) : (x<80 ? (x<70 ? 1.19806:1.11432) : (x<100 ? 1.12226:1.19338))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.18828:1.29034) : (1.31363)) : (x<320 ? 1.3051:1.30104)) : (x<670 ? (x<500 ? 1.53826:1.56031) : (x<800 ? 1.70555:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.930705) : (0.954009)) : (x<50 ? 0.958673:0.966151)) : (x<80 ? (x<70 ? 0.962786:0.954677) : (x<100 ? 0.959211:0.95335))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.948401:0.95172) : (0.883099)) : (x<320 ? 0.921924:0.903121)) : (x<670 ? (x<500 ? 0.821817:1.0115) : (x<800 ? 0.717755:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.841283) : (0.868207)) : (x<50 ? 0.893618:0.856501)) : (x<80 ? (x<70 ? 0.939697:0.941252) : (x<100 ? 0.867852:0.837159))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.960468:1.14592) : (0.879875)) : (x<320 ? 0.925458:0.92123)) : (x<670 ? (x<500 ? 0.920108:0.997221) : (x<800 ? 0.658607:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01602) : (1.01399)) : (x<50 ? 0.970137:1.01311)) : (x<80 ? (x<70 ? 1.02996:0.881267) : (x<100 ? 1.07013:1.11393))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.21568:1.26994) : (1.53304)) : (x<320 ? 1.40069:1.57944)) : (x<670 ? (x<500 ? 1.56105:1.55546) : (x<800 ? 1.60822:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.911633) : (0.919278)) : (x<50 ? 0.925198:0.931477)) : (x<80 ? (x<70 ? 0.89636:0.95083) : (x<100 ? 0.952759:0.957101))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.967577:0.979183) : (0.981015)) : (x<320 ? 1.0033:0.995218)) : (x<670 ? (x<500 ? 0.993392:0.98041) : (x<800 ? 0.948524:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.888817) : (0.775927)) : (x<50 ? 0.809275:0.714418)) : (x<80 ? (x<70 ? 0.886543:0.926868) : (x<100 ? 0.740275:0.831374))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.965795:1.00734) : (1.07044)) : (x<320 ? 0.641282:1.04926)) : (x<670 ? (x<500 ? 1.1131:0.723022) : (x<800 ? 0.57692:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.968312) : (1.03057)) : (x<50 ? 0.990016:0.996781)) : (x<80 ? (x<70 ? 1.02626:0.827822) : (x<100 ? 1.01703:1.05568))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.24039:1.12975) : (1.32041)) : (x<320 ? 1.67168:1.45507)) : (x<670 ? (x<500 ? 1.33171:1.89328) : (x<800 ? 1.43575:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.932045) : (0.947272)) : (x<50 ? 0.958863:0.965499)) : (x<80 ? (x<70 ? 0.960129:0.9673) : (x<100 ? 0.967963:0.965341))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.969318:0.972761) : (0.965665)) : (x<320 ? 0.943854:0.933118)) : (x<670 ? (x<500 ? 0.896156:0.917706) : (x<800 ? 0.814884:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.93137) : (0.931836)) : (x<50 ? 0.919898:0.950566)) : (x<80 ? (x<70 ? 0.942662:0.979211) : (x<100 ? 0.94435:0.954551))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.96451:0.939834) : (0.972051)) : (x<320 ? 0.895651:1.07481)) : (x<670 ? (x<500 ? 1.13252:0.969168) : (x<800 ? 0.710091:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10597) : (1.09488)) : (x<50 ? 1.12132:1.08295)) : (x<80 ? (x<70 ? 1.10015:1.1033) : (x<100 ? 1.10129:1.1754))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.15237:1.36725) : (1.39275)) : (x<320 ? 1.53149:1.52637)) : (x<670 ? (x<500 ? 1.39498:1.50528) : (x<800 ? 1.55447:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.920972) : (0.936866)) : (x<50 ? 0.94776:0.951023)) : (x<80 ? (x<70 ? 0.952581:0.953147) : (x<100 ? 0.970183:0.959532))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.975268:0.979548) : (0.982538)) : (x<320 ? 0.981977:0.990522)) : (x<670 ? (x<500 ? 0.98839:0.994009) : (x<800 ? 0.989095:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.945845) : (0.942653)) : (x<50 ? 0.923432:0.969446)) : (x<80 ? (x<70 ? 0.956516:0.916452) : (x<100 ? 0.938118:0.953933))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.96086:1.0126) : (0.988855)) : (x<320 ? 0.974627:1.0172)) : (x<670 ? (x<500 ? 1.01904:1.09581) : (x<800 ? 1.11109:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07693) : (1.0898)) : (x<50 ? 1.06324:1.1168)) : (x<80 ? (x<70 ? 1.1535:1.07067) : (x<100 ? 1.08823:1.1527))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.15593:1.25262) : (1.2669)) : (x<320 ? 1.25091:1.24274)) : (x<670 ? (x<500 ? 1.46684:1.48602) : (x<800 ? 1.56917:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.947153) : (0.97066)) : (x<50 ? 0.977315:0.987537)) : (x<80 ? (x<70 ? 0.987694:0.983953) : (x<100 ? 0.98618:0.992764))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.994942:1.03985) : (1.02289)) : (x<320 ? 1.10863:1.11527)) : (x<670 ? (x<500 ? 1.05961:1.35244) : (x<800 ? 1.20189:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.944505) : (0.992528)) : (x<50 ? 1.05224:1.04187)) : (x<80 ? (x<70 ? 1.1825:1.20913) : (x<100 ? 1.0677:1.07091))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.18146:1.4683) : (1.1888)) : (x<320 ? 1.31044:1.35408)) : (x<670 ? (x<500 ? 1.50346:1.69338) : (x<800 ? 1.70447:0)))" 
