CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06269) : (1.20775)) : (x<50 ? 1.57092:2.19555)) : (x<80 ? (x<70 ? 1.34368:0.783367) : (x<100 ? 1.31671:1.30952))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.65489:1.96697) : (2.60531)) : (x<320 ? 2.27968:7.16123)) : (x<670 ? (x<500 ? 2.54294:2.78371) : (x<800 ? 3.78926:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.905876) : (0.934955)) : (x<50 ? 0.933562:0.942172)) : (x<80 ? (x<70 ? 0.931272:0.928971) : (x<100 ? 0.930244:0.920867))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.905067:0.907303) : (0.82619)) : (x<320 ? 0.933675:0.776419)) : (x<670 ? (x<500 ? 0.668917:0.874335) : (x<800 ? 0.620084:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.874755) : (0.876136)) : (x<50 ? 0.929282:0.51017)) : (x<80 ? (x<70 ? 0.763907:0.86923) : (x<100 ? 0.746199:0.493627))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.848398:1.01399) : (0.79393)) : (x<320 ? 0.668938:0.633898)) : (x<670 ? (x<500 ? 0.333242:0.446261) : (x<800 ? -0.612361:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.935723) : (1.02311)) : (x<50 ? 1.17958:1.60163)) : (x<80 ? (x<70 ? 0.927115:0.541945) : (x<100 ? 0.960107:0.909758))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.23559:1.46471) : (1.6804)) : (x<320 ? 1.65289:4.26711)) : (x<670 ? (x<500 ? 1.67041:1.88118) : (x<800 ? 1.63035:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.923287) : (0.952401)) : (x<50 ? 0.952983:0.964371)) : (x<80 ? (x<70 ? 0.956871:0.959267) : (x<100 ? 0.958031:0.961451))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.953068:1.00188) : (0.986555)) : (x<320 ? 1.18015:1.02182)) : (x<670 ? (x<500 ? 0.926059:1.28036) : (x<800 ? 1.26912:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04743) : (1.08481)) : (x<50 ? 1.24743:0.745713)) : (x<80 ? (x<70 ? 1.16536:1.44301) : (x<100 ? 1.09416:0.771351))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.25235:1.60239) : (1.45629)) : (x<320 ? 1.32648:1.41388)) : (x<670 ? (x<500 ? 0.904327:1.71934) : (x<800 ? 5.73236:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18965) : (1.39239)) : (x<50 ? 1.96226:2.78948)) : (x<80 ? (x<70 ? 1.76025:1.02479) : (x<100 ? 1.67332:1.70929))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 2.07418:2.46922) : (3.53022)) : (x<320 ? 2.90647:10.0553)) : (x<670 ? (x<500 ? 3.41547:3.68624) : (x<800 ? 5.94816:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.881274) : (0.896536)) : (x<50 ? 0.910823:0.914959)) : (x<80 ? (x<70 ? 0.903464:0.899343) : (x<100 ? 0.902761:0.881412))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.874369:0.881989) : (0.790412)) : (x<320 ? 0.88807:0.767442)) : (x<670 ? (x<500 ? 0.537478:1.11507) : (x<800 ? 1.09375:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.922287) : (0.929513)) : (x<50 ? 1.14898:0.941912)) : (x<80 ? (x<70 ? 0.667824:1.07788) : (x<100 ? 0.77422:1.12662))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.631177:2.15467) : (0.540052)) : (x<320 ? 0.236957:1.91126)) : (x<670 ? (x<500 ? 0.335175:1.0828) : (x<800 ? 0:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.867124) : (1.10067)) : (x<50 ? 0.237465:0.748483)) : (x<80 ? (x<70 ? 0:2.96855) : (x<100 ? 0:1.49286))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.23131:1.28341) : (0)) : (x<320 ? 2.8876:10.812)) : (x<670 ? (x<500 ? 0:0) : (x<800 ? 0:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.870914) : (0.886733)) : (x<50 ? 0.900165:0.902971)) : (x<80 ? (x<70 ? 0.889731:0.883199) : (x<100 ? 0.887885:0.859957))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.848411:0.829362) : (0.699466)) : (x<320 ? 0.735483:0.622625)) : (x<670 ? (x<500 ? 0.411425:0.804694) : (x<800 ? 0.555515:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.745258) : (0.710066)) : (x<50 ? 0.806383:0.496054)) : (x<80 ? (x<70 ? 0.37633:0.516907) : (x<100 ? 0.472261:0.575853))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.368147:0.662835) : (0.156282)) : (x<320 ? -0.0285994:0.248371)) : (x<670 ? (x<500 ? -0.0534478:-0.453195) : (x<800 ? 0:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.695178) : (0.710388)) : (x<50 ? -0.0280651:0.176599)) : (x<80 ? (x<70 ? 0:-0.46011) : (x<100 ? 0:0.129612))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.404969:0.302814) : (0)) : (x<320 ? 0.960926:-0.485227)) : (x<670 ? (x<500 ? 0:0) : (x<800 ? 0:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.891635) : (0.906338)) : (x<50 ? 0.921481:0.926948)) : (x<80 ? (x<70 ? 0.917198:0.915488) : (x<100 ? 0.917637:0.902867))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.900327:0.934615) : (0.881358)) : (x<320 ? 1.04066:0.912259)) : (x<670 ? (x<500 ? 0.66353:1.42544) : (x<800 ? 1.63198:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09931) : (1.14896)) : (x<50 ? 1.49158:1.38777)) : (x<80 ? (x<70 ? 0.959318:1.63886) : (x<100 ? 1.07618:1.67739))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.894207:3.64651) : (0.923822)) : (x<320 ? 0.502512:3.57415)) : (x<670 ? (x<500 ? 0.723798:2.6188) : (x<800 ? 0:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03907) : (1.49096)) : (x<50 ? 0.502995:1.32037)) : (x<80 ? (x<70 ? 0:6.39721) : (x<100 ? 0:2.8561))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 2.05766:2.26401) : (0)) : (x<320 ? 4.81426:22.1093)) : (x<670 ? (x<500 ? 0:0) : (x<800 ? 0:0)))" 
