CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.938929) : (0.962334)) : (x<50 ? 0.967994:0.976844)) : (x<80 ? (x<70 ? 0.97524:0.969315) : (x<100 ? 0.972695:0.973057))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.971672:0.995786) : (0.952996)) : (x<320 ? 1.01528:1.0092)) : (x<670 ? (x<500 ? 0.940714:1.18197) : (x<800 ? 0.959821:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.892894) : (0.930368)) : (x<50 ? 0.972929:0.949186)) : (x<80 ? (x<70 ? 1.0611:1.07519) : (x<100 ? 0.967775:0.954035))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.07096:1.30711) : (1.03434)) : (x<320 ? 1.11795:1.13766)) : (x<670 ? (x<500 ? 1.21179:1.3453) : (x<800 ? 1.18154:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07218) : (1.0746)) : (x<50 ? 1.04199:1.09721)) : (x<80 ? (x<70 ? 1.12808:0.976496) : (x<100 ? 1.16006:1.22072))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.306:1.36342) : (1.6736)) : (x<320 ? 1.53292:1.73757)) : (x<670 ? (x<500 ? 1.73622:1.74237) : (x<800 ? 1.92846:0)))" 
0, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.957631) : (0.96211)) : (x<50 ? 0.967091:0.973019)) : (x<80 ? (x<70 ? 0.936551:0.991858) : (x<100 ? 0.981243:0.985038))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.98685:0.996037) : (0.997696)) : (x<320 ? 1.01923:1.00943)) : (x<670 ? (x<500 ? 1.00718:0.993255) : (x<800 ? 0.968107:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.97193) : (0.858038)) : (x<50 ? 0.914323:0.821355)) : (x<80 ? (x<70 ? 1.04374:1.11164) : (x<100 ? 0.860479:0.998911))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.12212:1.20578) : (1.34608)) : (x<320 ? 0.821739:1.39258)) : (x<670 ? (x<500 ? 1.57816:1.07376) : (x<800 ? 1.51111:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03743) : (1.11138)) : (x<50 ? 1.08537:1.11783)) : (x<80 ? (x<70 ? 1.15979:0.95782) : (x<100 ? 1.13394:1.19797))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.36717:1.24589) : (1.48787)) : (x<320 ? 1.90001:1.665)) : (x<670 ? (x<500 ? 1.53491:2.23248) : (x<800 ? 1.90118:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.930705) : (0.954009)) : (x<50 ? 0.958673:0.966151)) : (x<80 ? (x<70 ? 0.962786:0.954677) : (x<100 ? 0.959211:0.95335))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.948401:0.95172) : (0.883099)) : (x<320 ? 0.921924:0.903121)) : (x<670 ? (x<500 ? 0.821817:1.0115) : (x<800 ? 0.717755:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.841283) : (0.868207)) : (x<50 ? 0.893618:0.856501)) : (x<80 ? (x<70 ? 0.939697:0.941252) : (x<100 ? 0.867852:0.837159))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.960468:1.14592) : (0.879875)) : (x<320 ? 0.925458:0.92123)) : (x<670 ? (x<500 ? 0.920108:0.997221) : (x<800 ? 0.658607:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01602) : (1.01399)) : (x<50 ? 0.970137:1.01311)) : (x<80 ? (x<70 ? 1.02996:0.881267) : (x<100 ? 1.07013:1.11393))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.21568:1.26994) : (1.53304)) : (x<320 ? 1.40069:1.57944)) : (x<670 ? (x<500 ? 1.56105:1.55546) : (x<800 ? 1.60822:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.911633) : (0.919278)) : (x<50 ? 0.925198:0.931477)) : (x<80 ? (x<70 ? 0.89636:0.95083) : (x<100 ? 0.952759:0.957101))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.967577:0.979183) : (0.981015)) : (x<320 ? 1.0033:0.995218)) : (x<670 ? (x<500 ? 0.993392:0.98041) : (x<800 ? 0.948524:0)))" 
